date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt,timestamp
2023-06-30,18,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5140.0,6065.0,4.27,5.93,,0.47412097,5603.0,0.43530136,-0.43293995,2.982e-05,119.14928319,-7.13341118,0.0,0.0,2023-06-30 18:00:00+00:00
2023-06-30,19,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5210.0,6065.0,2.59,5.93,,0.47501564,5638.0,0.43913543,-0.43130945,2.952e-05,119.15339302,-7.19731432,0.0,0.0,2023-06-30 19:00:00+00:00
2023-06-30,20,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5210.0,6065.0,2.59,5.93,,0.47566056,5638.0,0.4397881,-0.43064961,2.945e-05,119.17977372,-7.21043379,0.0,0.0,2023-06-30 20:00:00+00:00
2023-06-30,21,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5210.0,6230.0,2.59,3.07,,0.49250007,5721.0,0.44972479,-0.4259562,2.866e-05,119.23781605,-7.37778474,0.0,0.0,2023-06-30 21:00:00+00:00
2023-06-30,22,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5135.0,5980.0,5.19,2.5,,0.47139764,5558.0,0.43601066,-0.42918325,2.961e-05,119.40067374,-7.16339384,0.0,0.0,2023-06-30 22:00:00+00:00
2023-06-30,23,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5135.0,6000.0,5.19,4.29,,0.47295094,5568.0,0.43671846,-0.42915594,2.957e-05,119.37506821,-7.17430662,0.0,0.0,2023-06-30 23:00:00+00:00
2023-07-01,0,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5135.0,6000.0,5.19,4.29,,0.4729557,5568.0,0.43672085,-0.42917958,2.957e-05,119.36706856,-7.1746878,0.0,0.0,2023-07-01 00:00:00+00:00
2023-07-01,1,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1e-08,8667.0,0.7,-0.3731909,1.781e-05,115.00246558,-11.08076027,0.0,0.0,2023-07-01 01:00:00+00:00
2023-07-01,2,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5135.0,6010.0,5.04,5.27,,0.47209978,5573.0,0.43541133,-0.43096047,2.974e-05,119.25525703,-7.14811365,0.0,0.0,2023-07-01 02:00:00+00:00
2023-07-01,3,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5135.0,6195.0,5.04,3.16,,0.48682809,5666.0,0.44232488,-0.4300819,2.929e-05,119.10329028,-7.25319135,0.0,0.0,2023-07-01 03:00:00+00:00
2023-07-01,4,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5250.0,6275.0,2.68,3.3,,0.4932785,5763.0,0.45019865,-0.42850966,2.876e-05,118.9749351,-7.37519497,0.0,0.0,2023-07-01 04:00:00+00:00
2023-07-01,5,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5250.0,6305.0,2.68,3.0,,0.49727917,5778.0,0.45295835,-0.42670457,2.853e-05,119.02785863,-7.42455729,0.0,0.0,2023-07-01 05:00:00+00:00
2023-07-01,6,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5250.0,6305.0,2.68,3.0,,0.49805641,5778.0,0.45374691,-0.4259226,2.845e-05,119.06015121,-7.44035435,0.0,0.0,2023-07-01 06:00:00+00:00
2023-07-01,7,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,4460.0,7410.0,3.6,4.57,,0.59218645,5945.0,0.46803027,-0.42246916,2.753e-05,118.88078437,-7.66388489,0.0,0.0,2023-07-01 07:00:00+00:00
2023-07-01,8,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,4460.0,7415.0,3.6,2.58,,0.59205651,5947.0,0.46764612,-0.42304441,2.758e-05,118.83974106,-7.65582949,0.0,0.0,2023-07-01 08:00:00+00:00
2023-07-01,9,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5170.0,5725.0,4.02,5.09,,0.44900537,5447.0,0.42575836,-0.43269649,3.043e-05,119.37287529,-7.00215819,0.0,0.0,2023-07-01 09:00:00+00:00
2023-07-01,10,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5100.0,5975.0,5.23,4.14,,0.47100544,5538.0,0.43433815,-0.4298882,2.977e-05,119.32375957,-7.14114497,0.0,0.0,2023-07-01 10:00:00+00:00
2023-07-01,11,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5100.0,5975.0,5.23,4.14,,0.47296345,5538.0,0.43632537,-0.42781816,2.955e-05,119.41776055,-7.18029358,0.0,0.0,2023-07-01 11:00:00+00:00
2023-07-01,12,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1e-08,8618.0,0.7,-0.37116566,1.772e-05,115.17789827,-11.11168387,0.0,0.0,2023-07-01 12:00:00+00:00
2023-07-01,13,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5070.0,5940.0,4.07,3.79,,0.4715085,5505.0,0.43510824,-0.42690286,2.958e-05,119.51200991,-7.16756157,0.0,0.0,2023-07-01 13:00:00+00:00
2023-07-01,14,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5070.0,6110.0,4.07,2.82,,0.48745275,5591.0,0.44393301,-0.42358491,2.891e-05,119.4960134,-7.31279355,0.0,0.0,2023-07-01 14:00:00+00:00
2023-07-01,15,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5070.0,6110.0,4.07,2.82,,0.48617721,5591.0,0.44263124,-0.42496096,2.905e-05,119.42351964,-7.28776371,0.0,0.0,2023-07-01 15:00:00+00:00
2023-07-01,16,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5070.0,6130.0,4.07,4.71,,0.48786521,5601.0,0.44347465,-0.42479817,2.899e-05,119.40461747,-7.30133324,0.0,0.0,2023-07-01 16:00:00+00:00
2023-07-01,17,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5070.0,5935.0,4.07,5.49,,0.47153354,5503.0,0.4353404,-0.42658994,2.956e-05,119.50438661,-7.1742245,0.0,0.0,2023-07-01 17:00:00+00:00
2023-07-01,18,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5070.0,5940.0,4.07,3.3,,0.47323346,5505.0,0.43684751,-0.42520744,2.941e-05,119.55822045,-7.20313191,0.0,0.0,2023-07-01 18:00:00+00:00
2023-07-01,19,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5070.0,6130.0,4.07,5.01,,0.48929572,5601.0,0.44492304,-0.42337745,2.885e-05,119.45184415,-7.33060363,0.0,0.0,2023-07-01 19:00:00+00:00
2023-07-01,20,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5070.0,5990.0,4.07,5.84,,0.47658205,5530.0,0.43807685,-0.42570569,2.936e-05,119.47197596,-7.21985134,0.0,0.0,2023-07-01 20:00:00+00:00
2023-07-01,21,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5070.0,6135.0,4.07,3.03,,0.48890591,5603.0,0.44430077,-0.42424538,2.893e-05,119.39181943,-7.31835489,0.0,0.0,2023-07-01 21:00:00+00:00
2023-07-01,22,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5070.0,6140.0,4.07,5.8,,0.48902392,5606.0,0.44419944,-0.42454799,2.895e-05,119.36552121,-7.31591533,0.0,0.0,2023-07-01 22:00:00+00:00
2023-07-01,23,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5140.0,6140.0,3.36,5.8,,0.4893899,5641.0,0.44748902,-0.42354386,2.872e-05,119.33789753,-7.36923585,0.0,0.0,2023-07-01 23:00:00+00:00
2023-07-02,0,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5140.0,6175.0,3.36,3.81,,0.49193859,5658.0,0.44855356,-0.4236651,2.866e-05,119.29033792,-7.38467224,0.0,0.0,2023-07-02 00:00:00+00:00
2023-07-02,1,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5140.0,6005.0,3.36,4.08,,0.47735095,5573.0,0.44111431,-0.42558017,2.918e-05,119.36045371,-7.26730187,0.0,0.0,2023-07-02 01:00:00+00:00
2023-07-02,2,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5185.0,6210.0,3.84,2.05,,0.4938364,5698.0,0.45082986,-0.42407753,2.856e-05,119.17683622,-7.41679168,0.0,0.0,2023-07-02 02:00:00+00:00
2023-07-02,3,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5185.0,6215.0,3.84,3.41,,0.49312234,5701.0,0.44988066,-0.42524825,2.867e-05,119.10784033,-7.39774212,0.0,0.0,2023-07-02 03:00:00+00:00
2023-07-02,4,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5185.0,6220.0,3.84,2.66,,0.49422562,5703.0,0.45078278,-0.42451715,2.858e-05,119.13164126,-7.41491063,0.0,0.0,2023-07-02 04:00:00+00:00
2023-07-02,5,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5185.0,6220.0,3.84,2.66,,0.49265862,5703.0,0.44918329,-0.42618907,2.875e-05,119.04284274,-7.38394294,0.0,0.0,2023-07-02 05:00:00+00:00
2023-07-02,6,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5185.0,6220.0,3.84,2.66,,0.49259543,5703.0,0.44911593,-0.42628493,2.876e-05,119.03127488,-7.38296792,0.0,0.0,2023-07-02 06:00:00+00:00
2023-07-02,7,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5185.0,6220.0,3.84,2.66,,0.49375474,5703.0,0.45029402,-0.425099,2.864e-05,119.08266639,-7.40638268,0.0,0.0,2023-07-02 07:00:00+00:00
2023-07-02,8,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5185.0,6220.0,3.84,2.66,,0.49284339,5703.0,0.4493627,-0.4260839,2.874e-05,119.02747911,-7.38848953,0.0,0.0,2023-07-02 08:00:00+00:00
2023-07-02,9,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5185.0,6065.0,3.84,3.49,,0.48096299,5625.0,0.44403702,-0.42634278,2.906e-05,119.16452012,-7.31017132,0.0,0.0,2023-07-02 09:00:00+00:00
2023-07-02,10,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5185.0,6120.0,3.84,3.22,,0.48535109,5653.0,0.44610023,-0.42610825,2.893e-05,119.11382278,-7.34185874,0.0,0.0,2023-07-02 10:00:00+00:00
2023-07-02,11,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5185.0,6145.0,3.84,4.88,,0.48865795,5666.0,0.44837058,-0.42464138,2.873e-05,119.1531506,-7.38251014,0.0,0.0,2023-07-02 11:00:00+00:00
2023-07-02,12,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5185.0,6145.0,3.84,4.88,,0.48807621,5666.0,0.44777632,-0.42528089,2.88e-05,119.11523768,-7.37122849,0.0,0.0,2023-07-02 12:00:00+00:00
2023-07-02,13,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5185.0,6150.0,3.84,3.47,,0.48822403,5668.0,0.44770539,-0.42555041,2.882e-05,119.09022914,-7.3693622,0.0,0.0,2023-07-02 13:00:00+00:00
2023-07-02,14,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5185.0,6150.0,3.84,3.47,,0.49084067,5668.0,0.45036495,-0.42284187,2.854e-05,119.21422761,-7.42171284,0.0,0.0,2023-07-02 14:00:00+00:00
2023-07-02,15,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5110.0,6000.0,2.25,2.76,,0.47494531,5555.0,0.43759853,-0.42842899,2.954e-05,119.16127699,-7.20895819,0.0,0.0,2023-07-02 15:00:00+00:00
2023-07-02,16,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5110.0,6035.0,2.25,5.56,,0.48021555,5573.0,0.44142991,-0.42565682,2.919e-05,119.2535237,-7.2785442,0.0,0.0,2023-07-02 16:00:00+00:00
2023-07-02,17,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5110.0,6035.0,2.25,5.56,,0.47594547,5573.0,0.43708503,-0.43023329,2.966e-05,119.0239814,-7.19386021,0.0,0.0,2023-07-02 17:00:00+00:00
2023-07-02,18,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5110.0,6050.0,2.25,5.31,,0.48001766,5580.0,0.44057041,-0.42712242,2.931e-05,119.15427495,-7.25999929,0.0,0.0,2023-07-02 18:00:00+00:00
2023-07-02,19,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5110.0,6050.0,2.25,5.31,,0.48137546,5580.0,0.44194847,-0.42571267,2.917e-05,119.2153912,-7.28728333,0.0,0.0,2023-07-02 19:00:00+00:00
2023-07-02,20,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5110.0,6050.0,2.25,5.31,,0.4824841,5580.0,0.44307292,-0.42457104,2.905e-05,119.26310918,-7.30959079,0.0,0.0,2023-07-02 20:00:00+00:00
